thanks,
thank you,
thx,
regards,
best regards,
sincerely,
cheers,
best,
kind regards,
warm regards,
many thanks,
thanks again,
thank you very much,
please call with questions,
let me know,
let me know if you have questions,
call me if you have questions,
give me a call,
feel free to call,
talk to you soon,
see you,
